        m          x          y          z
        0    -0.6071     0.2738     1.9881
        1    -0.9448     0.4465     2.0886
        2    -1.2793     0.6193     2.1879
        3    -1.6105     0.7922     2.2858
        4    -1.9386     0.9652     2.3824
        5    -2.2634     1.1384     2.4777
        6    -2.5850     1.3117     2.5717
        7    -2.9034     1.4851     2.6643
        8    -3.2186     1.6586     2.7557
        9    -3.5305     1.8322     2.8458
       10    -3.8393     2.0060     2.9345
       11    -4.1448     2.1798     3.0220
       12    -4.4471     2.3538     3.1081
       13    -4.7463     2.5279     3.1929
       14    -5.0421     2.7021     3.2764
       15    -5.3348     2.8765     3.3586
       16    -5.6243     3.0510     3.4395
       17    -5.9105     3.2255     3.5191
       18    -6.1936     3.4002     3.5974
       19    -6.4734     3.5751     3.6743
       20    -6.7500     3.7500     3.7500
