iterations          x          y          z          w
         0     0.0000     0.0000     0.0000     0.0000
         1     1.8000     0.4286     1.4000     1.5000
         2     1.3057    -0.6571     0.2943     0.8071
         3     1.4483    -0.0727     0.8477     0.9357
         4     1.4288    -0.2879     0.6481     0.9078
         5     1.4312    -0.2201     0.7045     0.9088
         6     1.4333    -0.2368     0.6898     0.9110
         7     1.4325    -0.2336     0.6918     0.9100
         8     1.4329    -0.2337     0.6917     0.9105
         9     1.4328    -0.2339     0.6915     0.9104
        10     1.4328    -0.2338     0.6916     0.9105
        11     1.4328    -0.2338     0.6915     0.9104
        12     1.4328    -0.2338     0.6915     0.9104
        13     1.4328    -0.2338     0.6915     0.9104
